src-path,bck-path,type,date-time
c:\temp\test\source,c:\temp\test\destination\source_full_13_09_2022_11_52_16,full,13-09-2022_11:52:16
c:\temp\test\source,c:\temp\test\destination\source_full_13_09_2022_12_08_18,full,13-09-2022_12:08:18
c:\temp\test\source,c:\temp\test\destination\source_full_13_09_2022_13_44_11,full,13-09-2022_13:44:11
c:\temp\test\source,c:\temp\test\destination\source_diff_13_09_2022_14_14_48,differential,13-09-2022_14:14:48
c:\temp\test\source,c:\temp\test\destination\source_diff_13_09_2022_14_16_18,differential,13-09-2022_14:16:18
c:\temp\test\source,c:\temp\test\destination\source_diff_13_09_2022_15_11_32,differential,13-09-2022_15:11:32
c:\temp\test\source,c:\temp\test\destination\source_full_13_09_2022_15_12_26,full,13-09-2022_15:12:26
c:\temp\test\source,c:\temp\test\destination\source_diff_13_09_2022_15_12_58,differential,13-09-2022_15:12:58
c:\temp\test\source,c:\temp\test\destination\source_diff_13_09_2022_15_13_56,differential,13-09-2022_15:13:56
c:\temp\test\source,c:\temp\test\destination\source_diff_13_09_2022_16_14_24,differential,13-09-2022_16:14:24
c:\temp\test\source,c:\temp\test\destination\source_diff_13_09_2022_16_26_04,differential,13-09-2022_16:26:04
c:\temp\test\source,c:\temp\test\destination\source_diff_13_09_2022_16_30_23,differential,13-09-2022_16:30:23
c:\temp\test\source,c:\temp\test\destination\source_diff_13_09_2022_16_33_47,differential,13-09-2022_16:33:47
c:\temp\test\source,c:\temp\test\destination\source_diff_13_09_2022_16_36_09,differential,13-09-2022_16:36:09
c:\temp\test\source,c:\temp\test\destination\source_diff_13_09_2022_16_45_15,differential,13-09-2022_16:45:15
c:\temp\test\source,c:\temp\test\destination\source_diff_13_09_2022_16_51_13,differential,13-09-2022_16:51:13
c:\temp\test\source,c:\temp\test\destination\source_diff_14_09_2022_10_35_45,differential,14-09-2022_10:35:45
c:\temp\test\source,c:\temp\test\destination\source_full_14_09_2022_10_38_37,full,14-09-2022_10:38:37
c:\temp\test\source,c:\temp\test\destination\source_diff_14_09_2022_10_39_20,differential,14-09-2022_10:39:20
c:\temp\test\source,c:\temp\test\destination\source_diff_14_09_2022_10_40_34,differential,14-09-2022_10:40:34
c:\temp\test\source,c:\temp\test\destination\source_diff_14_09_2022_10_54_15,differential,14-09-2022_10:54:15
